TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
ALUP3;9,29;2,48;13,64;1,48;0,39;46,15;44,80;11,73;3,57;6,35;2,81;1,17;1,60;3,84;-0,49;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;172.076,97;6,26;0,68
ALUP4;9,06;2,54;13,30;1,45;0,38;46,15;44,80;11,73;3,48;6,35;2,81;1,17;1,56;3,74;-0,48;2,10;10,88;2,87;9,91;0,26;0,60;0,25;25,59;16,91;177.475,10;6,26;0,68
AMAR3;6,09;;-5,24;1,55;0,53;39,75;-10,67;-13,41;-6,58;-10,70;-4,12;0,97;0,70;4,54;-1,05;1,31;-29,68;-10,11;-10,43;0,34;0,66;0,75;-2,93;;30.950.652,21;3,92;-1,16
AMBP3;26,39;;150,92;2,46;1,89;23,58;17,74;3,30;28,05;23,55;-4,50;-0,40;4,98;3,90;-4,44;6,57;1,63;1,26;6,31;0,77;0,21;0,38;;;11.869.914,52;10,71;0,17
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48
ANIM3;36,57;;-135,51;2,97;1,33;49,49;8,30;-2,66;43,41;48,16;4,76;0,33;3,60;5,68;-2,06;2,96;-2,19;-0,98;3,71;0,45;0,55;0,37;11,24;;34.708.082,83;12,31;-0,27
APER3;36,80;0,14;4.141,85;2,36;1,43;100,00;-0,30;0,10;-1.376,12;-1.205,93;170,19;-0,29;4,19;11,66;-1,96;1,86;0,06;0,03;-0,44;0,61;0,39;0,34;-16,64;-31,12;1.119.265,48;15,60;0,01
APTI3;197,64;;0,07;0,01;0,01;29,60;283,02;228,44;0,06;0,80;0,12;0,03;0,16;0,18;-0,01;1,32;17,82;10,76;17,28;0,60;0,40;0,05;-8,24;;;15.957,09;2.843,13
APTI4;3.500,00;;1,23;0,22;0,13;29,60;283,02;228,44;0,99;0,80;0,12;0,03;2,81;3,18;-0,16;1,32;17,82;10,76;17,28;0,60;0,40;0,05;-8,24;;;15.957,09;2.843,13
ARZZ3;67,41;0,79;222,46;9,63;3,76;46,48;5,19;2,14;91,57;91,31;-0,26;-0,03;4,75;12,77;-15,12;1,64;4,33;1,69;4,14;0,39;0,61;0,79;9,79;7,54;32.495.806,48;7,00;0,30
ATMP3;2,71;;-0,18;-0,89;0,04;-12,35;-26,96;-43,36;-0,29;-1,89;-1,59;;0,08;-0,15;-0,05;0,41;-485,09;-23,60;-75,21;-0,05;1,05;0,54;-21,09;;245.411,24;-3,06;-14,85
ATOM3;3,46;;5,92;4,39;2,76;100,00;36,63;42,69;6,90;5,54;-1,37;-0,87;2,53;2,90;-669,54;23,47;74,12;46,67;58,21;0,63;0,37;1,09;;;324.116,24;0,79;0,58
AURA33;62,00;;7,87;0,83;0,47;36,09;27,25;11,57;3,34;3,06;-0,29;-0,07;0,91;3,18;-0,76;1,66;10,58;6,03;17,21;0,57;0,43;0,52;;;9.857.243,62;74,45;7,88
AVLL3;22,50;;-1,63;2,62;0,24;-45,93;-167,05;-157,56;-1,54;-4,28;-2,74;4,67;2,57;4,12;-0,37;1,20;-160,67;-14,98;-27,79;0,09;0,90;0,10;;;830.867,95;8,60;-13,82
AZEV3;8,50;;-1,38;-0,64;2,73;1.622,59;3.562,68;5.901,50;-2,29;-2,03;-0,42;;;-0,85;-6,25;0,15;-46,24;-197,29;47,51;-4,27;5,27;-0,03;-64,98;;864.876,55;-13,30;-6,15
AZEV4;4,76;;-0,77;-0,36;1,53;1.622,59;3.562,68;5.901,50;-1,28;-2,03;-0,42;;;-0,48;-3,50;0,15;-46,24;-197,29;47,51;-4,27;5,27;-0,03;-64,98;;586.520,28;-13,30;-6,15
AZUL4;37,42;;-3,64;-3,40;3,38;-31,79;-48,57;-178,33;-13,36;-18,10;-4,75;;6,49;-6,51;-4,56;0,33;-93,39;-92,99;-85,25;-1,00;2,00;0,52;14,54;;362.531.097,45;-11,01;-10,29
B3SA3;59,82;3,56;32,52;4,93;2,71;96,89;62,80;47,79;24,74;23,18;-1,56;-0,31;15,54;16,30;-4,21;1,88;15,17;8,35;12,24;0,55;0,45;0,17;23,81;22,64;711.635.599,38;12,13;1,84
BAHI3;85,50;;-5,63;2,28;0,37;41,33;-8,01;-21,39;-15,03;-15,68;-0,65;0,10;1,20;-2,21;-0,42;0,41;-40,47;-6,54;-16,19;0,16;0,83;0,31;;;105.610,37;37,55;-15,20
BALM3;19,95;5,91;12,40;1,71;0,89;49,74;7,04;10,47;18,43;16,73;0,40;0,04;1,30;2,63;-2,70;2,02;13,81;7,18;4,54;0,52;0,45;0,69;5,12;-19,47;84.398,54;11,65;1,61
BALM4;15,40;7,66;9,57;1,32;0,69;49,74;7,04;10,47;14,22;16,73;0,40;0,04;1,00;2,03;-2,08;2,02;13,81;7,18;4,54;0,52;0,45;0,69;5,12;-19,47;82.156,32;11,65;1,61
BAUH4;95,94;0,89;35,77;6,08;3,68;24,92;8,50;7,49;31,49;29,40;-2,09;-0,40;2,68;22,14;-7,90;1,45;17,01;10,28;16,38;0,60;0,40;1,37;8,15;23,02;85.771,24;15,77;2,68
BAZA3;41,10;8,72;3,60;0,53;0,06;37,85;49,19;28,25;2,07;2,07;;;1,02;1,18;-0,06;;14,73;1,62;;0,11;0,89;0,06;6,35;8,48;60.388,21;77,52;11,42
BBAS3;36,30;4,07;6,50;0,93;0,06;18,87;5,98;12,69;13,80;13,80;;;0,83;-0,30;-0,12;0,74;14,27;0,87;;0,06;0,94;0,07;-2,23;7,20;696.048.808,38;39,12;5,58
BBDC3;23,50;2,74;14,32;1,52;0,15;27,80;-9,79;13,62;-19,93;-21,30;;;1,95;1,06;-0,18;9,36;10,59;1,03;;0,10;0,90;0,08;4,51;6,55;129.002.522,55;15,50;1,64
BBDC4;26,74;2,64;16,30;1,73;0,17;27,80;-9,79;13,62;-22,68;-21,30;;;2,22;1,20;-0,20;9,36;10,59;1,03;;0,10;0,90;0,08;4,51;6,55;1.097.573.278,07;15,50;1,64
BBML3;3.936,42;0,00;10.149,39;1.237,44;207,67;10,89;3,83;1,82;4.832,01;4.837,53;5,52;1,41;184,96;-34.095,13;-366,43;0,99;12,19;2,05;6,16;0,17;0,83;1,12;;;;3,18;0,39
BBRK3;2,19;;-1,21;1,08;0,59;65,58;-116,71;-126,70;-1,32;-0,99;0,33;-0,27;1,54;80,25;-0,77;1,03;-89,33;-48,30;-81,61;0,54;0,44;0,38;-13,43;;2.165.756,76;2,02;-1,81
BBSE3;29,35;9,49;14,32;9,23;6,09;;;;11,81;11,81;;;;36,75;-9,22;1,95;64,48;42,51;;0,66;0,34;0,00;;14,01;111.102.643,69;3,18;2,05
BDLL3;27,51;;-0,27;-0,29;0,06;-60,25;-759,15;-662,22;-0,23;-1,43;-1,28;;1,76;-0,18;-0,10;0,51;-108,24;-24,25;-257,36;-0,22;1,22;0,04;-39,75;;2.751,00;-95,47;-103,34
BDLL4;11,51;;-0,11;-0,12;0,03;-60,25;-759,15;-662,22;-0,10;-1,43;-1,28;;0,74;-0,08;-0,04;0,51;-108,24;-24,25;-257,36;-0,22;1,22;0,04;-39,75;;67.254,45;-95,47;-103,34
BEEF3;9,72;3,09;6,46;4,38;0,30;20,71;9,62;4,45;2,99;5,63;2,64;3,87;0,29;0,87;-0,94;1,98;67,81;4,57;12,79;0,07;0,93;1,03;19,63;;93.626.378,62;2,22;1,50
BEES3;5,44;3,90;7,90;1,05;0,05;55,13;17,24;13,02;5,96;6,16;;;1,03;-0,39;-0,12;0,83;13,27;0,61;;0,05;0,95;0,05;3,69;8,54;441.341,17;5,19;0,69
BEES4;6,10;3,48;8,86;1,18;0,05;55,13;17,24;13,02;6,69;6,16;;;1,15;-0,44;-0,14;0,83;13,27;0,61;;0,05;0,95;0,05;3,69;8,54;32.344,10;5,19;0,69
BFRE11;0,00;;0,00;0,00;0,00;;;;0,00;;-20,36;-0,39;;0,00;0,00;12,81;5,13;4,90;-0,72;0,95;0,05;0,00;;;;258.885,63;13.288,70
BFRE12;0,00;;0,00;0,00;0,00;;;;0,00;;-20,36;-0,39;;0,00;0,00;12,81;5,13;4,90;-0,72;0,95;0,05;0,00;;;;258.885,63;13.288,70
BGIP3;43,34;1,64;10,95;1,33;0,10;64,71;13,73;9,50;7,58;6,07;;;1,04;-1,56;-0,24;0,90;12,15;0,91;;0,07;0,93;0,10;5,66;64,33;4.334,00;32,57;3,96
BGIP4;26,02;3,01;6,58;0,80;0,06;64,71;13,73;9,50;4,55;6,07;;;0,62;-0,94;-0,14;0,90;12,15;0,91;;0,07;0,93;0,10;5,66;64,33;29.289,35;32,57;3,96
BIDI11;126,00;0,14;24.213,18;9,87;1,95;55,08;-7,06;0,15;-507,85;-507,85;;;35,86;11,75;-6,60;1,31;0,04;0,01;;0,20;0,80;0,05;;;134.286.121,34;12,76;0,01
BIDI3;42,36;0,13;24.420,72;9,96;1,97;55,08;-7,06;0,15;-512,20;-507,85;;;36,17;11,86;-6,66;1,31;0,04;0,01;;0,20;0,80;0,05;;;14.422.665,93;4,25;0,00
BIDI4;41,50;0,14;23.924,93;9,76;1,93;55,08;-7,06;0,15;-501,80;-507,85;;;35,44;11,62;-6,53;1,31;0,04;0,01;;0,20;0,80;0,05;;;82.150.368,48;4,25;0,00
BIOM3;16,34;;-18,97;10,19;3,18;26,49;-110,93;-132,84;-22,71;-25,35;-2,63;1,18;25,20;22,50;-4,68;1,78;-53,70;-16,75;-16,51;0,31;0,69;0,13;;;481.498,52;1,60;-0,86
BKBR3;11,13;0,46;-9,96;2,12;0,88;60,07;-11,87;-13,57;-11,39;-13,12;-1,73;0,32;1,35;-135,15;-1,12;0,97;-21,25;-8,82;-12,16;0,41;0,59;0,65;433,99;;24.225.177,14;5,26;-1,12
BMEB3;16,39;3,81;6,39;0,88;0,09;74,67;2,85;5,99;13,41;13,29;;;0,38;0,31;-0,18;2,06;13,72;1,33;;0,10;0,90;0,22;-5,92;;29.629,43;18,70;2,57
BMEB4;15,99;4,29;6,23;0,86;0,08;74,67;2,85;5,99;13,08;13,29;;;0,37;0,30;-0,18;2,06;13,72;1,33;;0,10;0,90;0,22;-5,92;;116.456,76;18,70;2,57
BMGB4;5,61;3,18;8,39;0,81;0,13;72,00;3,27;10,15;26,06;26,06;;;0,85;;-0,13;;9,68;1,59;;0,16;0,84;0,16;;;12.072.644,83;6,91;0,67
BMIN3;21,35;6,56;61,76;0,83;0,50;79,31;18,81;14,01;45,99;45,88;;;8,65;10,48;-0,68;1,22;1,35;0,81;;0,60;0,40;0,06;5,44;-8,61;40.689,69;25,67;0,35
BMIN4;21,00;6,67;60,75;0,82;0,49;79,31;18,81;14,01;45,24;45,88;;;8,51;10,30;-0,67;1,22;1,35;0,81;;0,60;0,40;0,06;5,44;-8,61;44.667,45;25,67;0,35
BMKS3;274,99;2,21;30,53;0,68;0,61;28,71;3,39;19,72;177,63;-25,51;-203,14;-0,78;6,02;0,78;-3,09;30,55;2,23;1,98;-0,74;0,89;0,11;0,10;-13,82;-25,48;54.144,17;404,66;9,01
BNBR3;74,00;3,64;4,99;1,03;0,11;45,90;43,10;30,30;3,51;3,51;;;1,51;-6,25;-0,15;0,94;20,62;2,22;;0,11;0,89;0,07;4,71;18,37;21.940,79;71,89;14,83
BOAS3;12,06;0,46;324,32;17,38;6,47;42,69;9,91;2,79;91,38;94,84;3,46;0,66;9,05;-39,83;-9,04;0,64;5,36;2,00;5,46;0,37;0,63;0,72;;;8.225.770,59;0,69;0,04
BOBR3;0,00;;0,00;0,00;0,00;35,04;12,14;3,57;0,00;4,03;1,62;;0,00;0,00;0,00;0,58;-15,94;5,78;-913,16;-0,36;1,36;1,62;-1,67;;;-0,93;0,15
BOBR4;2,57;;17,41;-2,77;1,01;35,04;12,14;3,57;5,12;4,03;1,62;;0,62;-3,52;-1,68;0,58;-15,94;5,78;-913,16;-0,36;1,36;1,62;-1,67;;585.566,72;-0,93;0,15
BPAC11;88,75;1,37;28,13;3,09;0,29;-7,18;10,12;21,90;60,85;60,85;;;6,16;5,08;-1,01;1,09;10,98;1,05;;0,10;0,90;0,05;-0,86;14,56;271.953.335,14;28,75;3,16
BPAC3;45,40;0,89;43,17;4,74;0,45;-7,18;10,12;21,90;93,38;60,85;;;9,45;7,80;-1,55;1,09;10,98;1,05;;0,10;0,90;0,05;-0,86;14,56;429.580,21;9,58;1,05
BPAC5;22,00;1,84;20,92;2,30;0,22;-7,18;10,12;21,90;45,25;60,85;;;4,58;3,78;-0,75;1,09;10,98;1,05;;0,10;0,90;0,05;-0,86;14,56;257.423,03;9,58;1,05
BPAN4;9,49;3,91;15,09;2,19;0,32;63,28;8,08;8,55;15,97;15,97;;;1,29;-1,75;-0,57;0,70;14,52;2,14;;0,15;0,85;0,25;8,37;49,77;20.585.427,69;4,33;0,63
BPAR3;182,07;9,28;6,37;1,17;0,15;81,27;32,82;17,19;3,34;3,34;;;1,10;0,75;-0,19;;18,33;2,39;;0,13;0,87;0,14;8,00;16,96;;155,85;28,57
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-24,79;;66,71;6,31
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40
BRAP3;63,08;2,89;29,15;1,83;1,77;;;;27,11;28,54;-0,91;-0,06;;35,60;-1,93;2,76;6,27;6,09;6,11;0,97;0,03;0,00;;;1.855.790,48;34,51;2,16
BRAP4;71,46;2,80;33,02;2,07;2,01;;;;30,72;28,54;-0,91;-0,06;;40,33;-2,18;2,76;6,27;6,09;6,11;0,97;0,03;0,00;;;170.586.763,90;34,51;2,16
BRDT3;21,82;4,26;29,80;2,64;0,92;5,67;1,66;1,05;18,87;22,45;3,57;0,50;0,31;3,42;-1,79;2,21;8,87;3,07;4,86;0,35;0,65;2,93;-0,73;14,51;184.276.110,93;8,25;0,73
BRFS3;20,76;;14,58;2,38;0,33;24,00;7,20;3,10;6,28;11,61;5,33;2,02;0,45;2,90;-0,62;1,32;16,32;2,26;7,25;0,14;0,86;0,73;2,89;-33,13;237.080.028,62;8,72;1,42
BRGE11;10,21;3,46;15,29;0,61;0,25;-238,98;132,93;165,05;18,99;-9,50;-30,24;-0,97;25,24;0,81;-0,47;2,81;3,98;1,62;1,31;0,41;0,39;0,01;3,11;2,66;7.419,00;16,79;0,67
BRGE12;6,20;;9,29;0,37;0,15;-238,98;132,93;165,05;11,53;-9,50;-30,24;-0,97;15,33;0,49;-0,29;2,81;3,98;1,62;1,31;0,41;0,39;0,01;3,11;2,66;13.901,00;16,79;0,67
BRGE3;10,45;;15,65;0,62;0,25;-238,98;132,93;165,05;19,44;-9,50;-30,24;-0,97;25,84;0,83;-0,49;2,81;3,98;1,62;1,31;0,41;0,39;0,01;3,11;2,66;39.316,16;16,79;0,67
BRGE5;12,00;2,45;17,98;0,71;0,29;-238,98;132,93;165,05;22,32;-9,50;-30,24;-0,97;29,67;0,95;-0,56;2,81;3,98;1,62;1,31;0,41;0,39;0,01;3,11;2,66;4.254,50;16,79;0,67
BRGE6;18,50;3,81;27,71;1,10;0,45;-238,98;132,93;165,05;34,41;-9,50;-30,24;-0,97;45,74;1,46;-0,86;2,81;3,98;1,62;1,31;0,41;0,39;0,01;3,11;2,66;3.164,75;16,79;0,67
BRGE7;5,40;7,62;8,09;0,32;0,13;-238,98;132,93;165,05;10,04;-9,50;-30,24;-0,97;13,35;0,43;-0,25;2,81;3,98;1,62;1,31;0,41;0,39;0,01;3,11;2,66;;16,79;0,67
BRGE8;9,40;3,13;14,08;0,56;0,23;-238,98;132,93;165,05;17,48;-9,50;-30,24;-0,97;23,24;0,74;-0,44;2,81;3,98;1,62;1,31;0,41;0,39;0,01;3,11;2,66;8.212,27;16,79;0,67
BRIV3;11,99;;13,94;0,70;0,06;25,64;10,16;7,66;10,52;9,82;;;1,07;0,29;-0,08;113,52;4,98;0,44;;0,09;0,91;0,06;-6,24;0,83;143.244,32;17,25;0,86
BRIV4;10,00;6,82;11,63;0,58;0,05;25,64;10,16;7,66;8,77;9,82;;;0,89;0,24;-0,06;113,52;4,98;0,44;;0,09;0,91;0,06;-6,24;0,83;102.712,32;17,25;0,86
BRKM3;25,80;;-1,89;-4,61;0,24;14,82;-9,11;-20,77;-4,31;-10,55;-6,28;;0,39;2,07;-0,37;1,48;-244,01;-12,65;-24,84;-0,05;1,07;0,61;3,00;;457.729,21;-5,60;-13,67
BRKM5;25,20;;-1,84;-4,50;0,23;14,82;-9,11;-20,77;-4,21;-10,55;-6,28;;0,38;2,02;-0,36;1,48;-244,01;-12,65;-24,84;-0,05;1,07;0,61;3,00;;88.871.392,28;-5,60;-13,67
BRKM6;19,50;;-1,43;-3,48;0,18;14,82;-9,11;-20,77;-3,25;-10,55;-6,28;;0,30;1,56;-0,28;1,48;-244,01;-12,65;-24,84;-0,05;1,07;0,61;3,00;;25.633,13;-5,60;-13,67
BRML3;9,28;;-94,54;0,77;0,44;87,83;20,54;-8,61;39,63;51,72;12,08;0,23;8,14;9,44;-0,47;3,00;-0,81;-0,46;1,33;0,57;0,40;0,05;-1,04;18,24;160.766.719,14;12,08;-0,10
BRPR3;9,60;0,90;10,55;0,66;0,45;100,00;231,89;140,79;6,41;6,95;0,55;0,06;14,86;2,76;-0,56;6,32;6,23;4,26;5,71;0,68;0,32;0,03;-14,64;3,09;16.391.774,10;14,59;0,91
BRQB3;0,00;;0,00;0,00;0,00;31,86;13,57;8,57;0,00;-0,99;-0,99;-0,54;0,00;0,00;0,00;2,26;34,57;14,43;22,51;0,42;0,58;1,68;-0,37;100,11;;0,92;0,32
BRSR3;15,54;4,23;7,77;0,76;0,07;56,79;9,53;10,63;8,67;8,35;;;0,83;1,67;-0,08;2,20;9,79;0,91;;0,09;0,91;0,09;1,64;15,38;223.897,76;20,42;2,00
BRSR5;20,90;3,23;10,45;1,02;0,09;56,79;9,53;10,63;11,67;8,35;;;1,11;2,24;-0,10;2,20;9,79;0,91;;0,09;0,91;0,09;1,64;15,38;10.701,63;20,42;2,00
BRSR6;14,37;4,57;7,19;0,70;0,07;56,79;9,53;10,63;8,02;8,35;;;0,76;1,54;-0,07;2,20;9,79;0,91;;0,09;0,91;0,09;1,64;15,38;32.731.275,10;20,42;2,00
BSEV3;6,83;;-7,45;-6,88;0,52;18,97;13,15;-10,49;5,94;11,14;5,20;;0,78;-1,08;-0,88;0,46;-92,38;-6,96;14,18;-0,08;1,07;0,66;7,69;;627.332,62;-0,99;-0,92
BSLI3;72,80;5,49;55,12;13,55;1,23;77,15;21,62;15,24;38,85;36,58;;;8,40;-6,93;-1,46;0,47;24,58;2,24;;0,09;0,91;0,15;5,10;12,95;475.270,92;5,37;1,32
BSLI4;54,21;8,11;41,04;10,09;0,92;77,15;21,62;15,24;28,93;36,58;;;6,25;-5,16;-1,09;0,47;24,58;2,24;;0,09;0,91;0,15;5,10;12,95;714.440,78;5,37;1,32
BTOW3;81,30;;-259,67;4,77;2,39;29,11;2,11;-1,92;236,69;221,35;-15,33;-0,31;4,99;6,15;-6,79;2,49;-1,84;-0,92;0,94;0,50;0,50;0,48;-3,20;;418.530.912,86;17,03;-0,31
BTTL3;10,26;;14,43;7,98;0,94;19,02;5,50;2,65;6,95;8,10;1,15;1,32;0,38;17,08;-1,75;1,14;55,29;6,52;27,57;0,12;0,88;2,46;-11,43;;48.565,41;1,29;0,71
BTTL4;11.091,73;;15.604,41;8.628,01;1.017,15;19,02;5,50;2,65;7.511,37;8,10;1,15;1,32;412,99;18.464,14;-1.888,71;1,14;55,29;6,52;27,57;0,12;0,88;2,46;-11,43;;;1,29;0,71
CALI3;98,18;;-4,38;46,60;0,30;-1,51;-51,81;-51,46;-4,36;-4,64;-1,71;18,29;2,26;0,70;-0,68;4,44;-1.062,76;-6,84;-24,85;0,01;0,99;0,13;-38,15;;;2,11;-22,39
CALI4;50,00;;-2,23;23,73;0,15;-1,51;-51,81;-51,46;-2,22;-4,64;-1,71;18,29;1,15;0,35;-0,34;4,44;-1.062,76;-6,84;-24,85;0,01;0,99;0,13;-38,15;;9.554,00;2,11;-22,39
CAMB3;5,77;;9,70;2,65;0,90;45,37;12,46;16,54;12,88;15,81;2,93;0,60;1,60;-15,12;-1,34;0,85;27,29;9,28;11,68;0,34;0,66;0,56;-4,98;7,64;1.036.347,41;2,18;0,59
CAMB4;6,25;;10,51;2,87;0,98;45,37;12,46;16,54;13,95;15,81;2,93;0,60;1,74;-16,38;-1,45;0,85;27,29;9,28;11,68;0,34;0,66;0,56;-4,98;7,64;;2,18;0,59
CAML3;11,38;5,13;9,49;1,87;0,88;23,45;8,68;6,27;6,85;8,68;1,83;0,50;0,59;2,89;-2,00;2,17;19,73;9,23;13,28;0,47;0,53;1,47;7,98;17,95;23.429.014,00;6,08;1,20
CARD3;16,22;1,87;15,99;2,40;1,29;28,77;14,84;9,37;10,09;10,51;0,41;0,10;1,50;31,29;-1,92;1,15;15,01;8,09;12,59;0,54;0,46;0,86;1,77;18,99;2.497.888,97;6,76;1,01
CASH3;25,80;;165,54;80,90;49,03;26,36;26,36;19,77;124,14;123,34;-0,80;-0,52;32,72;98,81;-206,94;2,86;48,87;29,62;35,98;0,61;0,36;1,50;;;40.975.897,86;0,32;0,16
CASN3;14,34;0,29;85,13;8,05;2,81;53,10;27,60;11,01;33,96;31,09;4,20;1,00;9,37;-757,67;-3,29;0,98;9,46;3,30;8,82;0,35;0,65;0,30;8,58;9,88;1.520,00;1,78;0,17
CASN4;8,37;0,54;49,69;4,70;1,64;53,10;27,60;11,01;19,82;31,09;4,20;1,00;5,47;-442,24;-1,92;0,98;9,46;3,30;8,82;0,35;0,65;0,30;8,58;9,88;1.100,00;1,78;0,17
CATA3;103,61;;0,89;0,12;0,06;13,06;-3,67;12,63;-3,06;-9,95;-6,92;0,27;0,11;0,30;-0,11;2,01;13,31;7,27;-3,04;0,55;0,46;0,58;-1,79;-8,60;;876,70;116,70
CATA4;0,00;;0,00;0,00;0,00;13,06;-3,67;12,63;0,00;-9,95;-6,92;0,27;0,00;0,00;0,00;2,01;13,31;7,27;-3,04;0,55;0,46;0,58;-1,79;-8,60;;876,70;116,70
CBEE3;17,50;2,27;26,67;0,81;0,25;13,85;8,53;1,81;5,66;13,59;7,93;1,13;0,48;-149,07;-0,35;0,99;3,03;0,92;5,38;0,31;0,69;0,51;5,20;7,47;18.281,18;21,69;0,66
CCPR3;13,06;7,14;24,30;1,11;0,40;65,30;56,23;16,69;7,21;10,40;3,19;0,49;4,05;3,61;-0,46;3,99;4,58;1,63;5,30;0,35;0,39;0,10;4,28;-8,25;14.347.169,90;11,73;0,54
